id,topic_0,topic_1,label
0,0.0,0.9982947707176208,0
1,0.023889431729912758,0.976110577583313,1
2,0.9933333396911621,0.976110577583313,1
3,0.9970642924308777,0.976110577583313,0
4,0.05034284293651581,0.949657142162323,1
5,0.05034284293651581,0.9979135990142822,1
6,0.031878113746643066,0.9681218862533569,0
7,0.9976112842559814,0.9681218862533569,1
8,0.013732830993831158,0.9862671494483948,0
9,0.9740579724311829,0.02594204619526863,0
10,0.09705142676830292,0.9029485583305359,0
11,0.09705142676830292,0.9961884021759033,0
12,0.011140823364257812,0.9888591170310974,1
13,0.8567494750022888,0.14325052499771118,0
14,0.8567494750022888,0.9976486563682556,1
15,0.017651990056037903,0.9823480844497681,1
16,0.998196005821228,0.9823480844497681,1
17,0.998196005821228,0.9989033341407776,1
18,0.3164988160133362,0.6835012435913086,1
19,0.7771406173706055,0.22285941243171692,1
20,0.9983880519866943,0.22285941243171692,0
21,0.9982552528381348,0.22285941243171692,1
22,0.9982552528381348,0.9987502694129944,1
23,0.9938910603523254,0.9987502694129944,1
24,0.9938910603523254,0.9979454278945923,1
25,0.9938910603523254,0.99776291847229,0
26,0.028451815247535706,0.9715481996536255,1
27,0.028451815247535706,0.9982260465621948,1
28,0.9983746409416199,0.9982260465621948,1
29,0.9984946846961975,0.9982260465621948,1
30,0.9056696891784668,0.09433028846979141,0
31,0.9861508011817932,0.013849194161593914,1
32,0.9861508011817932,0.9986210465431213,0
33,0.9659319519996643,0.03406798467040062,0
34,0.9659319519996643,0.9979220628738403,1
35,0.021494023501873016,0.9785059690475464,1
36,0.021494023501873016,0.9974057078361511,1
37,0.7563155889511108,0.24368444085121155,1
38,0.9748157858848572,0.025184186175465584,1
39,0.013550951145589352,0.9864490628242493,1
40,0.01314355619251728,0.9868564009666443,1
41,0.01314355619251728,0.9959709644317627,1
42,0.7685253620147705,0.2314746230840683,1
43,0.8391191959381104,0.16088078916072845,1
44,0.11921310424804688,0.8807868957519531,1
45,0.11921310424804688,0.9968118667602539,1
46,0.9988324642181396,0.9968118667602539,1
47,0.9988324642181396,0.9990686178207397,0
48,0.9981639981269836,0.9990686178207397,0
49,0.9981639981269836,0.9963096380233765,1
50,0.9984612464904785,0.9963096380233765,1
51,0.998733401298523,0.9963096380233765,1
52,0.9974972605705261,0.9963096380233765,1
53,0.14616535604000092,0.8538346886634827,1
54,0.14616535604000092,0.9969626069068909,0
55,0.14616535604000092,0.9980660676956177,1
56,0.14616535604000092,0.9971613883972168,0
57,0.2499757558107376,0.7500242590904236,0
58,0.785270094871521,0.214729905128479,1
59,0.9975106716156006,0.214729905128479,1
60,0.9975106716156006,0.9979512095451355,0
61,0.9975106716156006,0.998896598815918,1
62,0.9975106716156006,0.9983599185943604,1
63,0.9975106716156006,0.9964473247528076,1
64,0.9975106716156006,0.9980365633964539,1
65,0.05771929770708084,0.9422807097434998,1
66,0.9985312223434448,0.9422807097434998,1
67,0.10664775967597961,0.893352210521698,1
68,0.10664775967597961,0.9911352396011353,0
69,0.9975802302360535,0.9911352396011353,1
70,0.4755185842514038,0.5244814157485962,0
71,0.9920141100883484,0.5244814157485962,1
72,0.9991760849952698,0.5244814157485962,1
73,0.5856696367263794,0.4143303334712982,0
74,0.34005752205848694,0.6599425077438354,1
75,0.9321758151054382,0.06782415509223938,1
76,0.9882895946502686,0.011710358783602715,1
77,0.9985727071762085,0.011710358783602715,1
78,0.8906704187393188,0.10932961851358414,1
79,0.8906704187393188,0.9979417324066162,0
80,0.0102172140032053,0.9897827506065369,1
81,0.7233619093894958,0.27663809061050415,0
82,0.9887832403182983,0.01121677178889513,1
83,0.9991759657859802,0.01121677178889513,1
84,0.9964630603790283,0.01121677178889513,1
85,0.9964630603790283,0.9983339309692383,1

